Article File,Article Citation,AccessionID,LastUpdated (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
PMC011xxxxxx/PMC11000000.xml,"Heliyon. 2024 Mar 27; 10(7):e28617",PMC11000000,"2024-04-09 23:46:29",38590840,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000003.xml,"Heliyon. 2024 Mar 26; 10(7):e28627",PMC11000003,"2024-04-09 23:46:29",38590893,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000004.xml,"Heliyon. 2024 Mar 26; 10(7):e28590",PMC11000004,"2024-04-09 23:46:29",38590892,"CC BY-NC",no
PMC011xxxxxx/PMC11000005.xml,"Heliyon. 2024 Mar 26; 10(7):e28620",PMC11000005,"2024-04-09 23:46:29",38590887,"CC BY-NC",no
PMC011xxxxxx/PMC11000006.xml,"Heliyon. 2024 Mar 26; 10(7):e28632",PMC11000006,"2024-04-09 23:46:29",38590894,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000007.xml,"Heliyon. 2024 Mar 26; 10(7):e28769",PMC11000007,"2024-04-09 23:46:29",38590908,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000008.xml,"iScience. 2024 Mar 16; 27(4):109520",PMC11000008,"2024-04-09 23:46:29",38591008,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000009.xml,"Heliyon. 2024 Mar 25; 10(7):e28748",PMC11000009,"2024-04-09 23:46:29",38590839,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000010.xml,"Heliyon. 2024 Mar 27; 10(7):e28718",PMC11000010,"2024-04-09 23:46:29",38590885,"CC BY-NC",no
PMC011xxxxxx/PMC11000012.xml,"Heliyon. 2024 Mar 22; 10(7):e28680",PMC11000012,"2024-04-09 23:46:29",38590901,"CC BY-NC",no
PMC011xxxxxx/PMC11000013.xml,"iScience. 2024 Mar 16; 27(4):109515",PMC11000013,"2024-04-09 23:46:29",38591010,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000014.xml,"iScience. 2024 Mar 16; 27(4):109503",PMC11000014,"2024-04-09 23:46:29",38591007,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000015.xml,"iScience. 2024 Mar 16; 27(4):109502",PMC11000015,"2024-04-09 23:46:29",38591009,"CC BY-NC",no
PMC011xxxxxx/PMC11000017.xml,"Heliyon. 2024 Mar 23; 10(7):e28653",PMC11000017,"2024-04-09 23:46:29",38590905,"CC BY-NC",no
PMC011xxxxxx/PMC11000019.xml,"Mayo Clin Proc Innov Qual Outcomes. 2024 Apr 4; 8(3):201-212",PMC11000019,"2024-04-09 23:46:29",38596168,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000020.xml,"Heliyon. 2024 Mar 22; 10(7):e28614",PMC11000020,"2024-04-09 23:46:29",38590851,"CC BY-NC",no
PMC011xxxxxx/PMC11000021.xml,"Heliyon. 2024 Mar 26; 10(7):e28673",PMC11000021,"2024-04-09 23:46:29",38590874,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000022.xml,"Heliyon. 2024 Mar 27; 10(7):e28629",PMC11000022,"2024-04-09 23:46:29",38590883,"CC BY-NC",no
PMC011xxxxxx/PMC11000023.xml,"Heliyon. 2024 Mar 24; 10(7):e28651",PMC11000023,"2024-04-09 23:46:29",38590898,"CC BY-NC",no
PMC011xxxxxx/PMC11000024.xml,"iScience. 2024 Mar 14; 27(4):109507",PMC11000024,"2024-04-09 23:46:29",38591011,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000026.xml,"Heliyon. 2024 Mar 26; 10(7):e28818",PMC11000026,"2024-04-09 23:46:29",38590871,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000037.xml,"World J Nephrol. 2024 Mar 25; 13(1):89637",PMC11000037,"2024-04-26 23:35:32",38596266,"CC BY-NC",no
PMC011xxxxxx/PMC11000038.xml,"World J Nephrol. 2024 Mar 25; 13(1):88028",PMC11000038,"2024-04-26 23:35:32",38596270,"CC BY-NC",no
PMC011xxxxxx/PMC11000039.xml,"World J Nephrol. 2024 Mar 25; 13(1):90542",PMC11000039,"2024-04-26 23:35:32",38596268,"CC BY-NC",no
PMC011xxxxxx/PMC11000040.xml,"World J Nephrol. 2024 Mar 25; 13(1):88972",PMC11000040,"2024-04-26 23:35:32",38596269,"CC BY-NC",no
PMC011xxxxxx/PMC11000041.xml,"World J Nephrol. 2024 Mar 25; 13(1):90402",PMC11000041,"2024-04-26 23:35:32",38596265,"CC BY-NC",no
PMC011xxxxxx/PMC11000042.xml,"World J Nephrol. 2024 Mar 25; 13(1):88967",PMC11000042,"2024-04-26 23:35:32",38596267,"CC BY-NC",no
PMC011xxxxxx/PMC11000045.xml,"Exp Ther Med. 2024 Mar 19; 27(5):208",PMC11000045,"2024-04-09 23:46:30",38590570,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000048.xml,"Exp Ther Med. 2024 Mar 15; 27(5):201",PMC11000048,"2024-04-09 23:46:30",38590580,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000049.xml,"Exp Ther Med. 2024 Mar 19; 27(5):207",PMC11000049,"2024-04-09 23:46:30",38590574,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000050.xml,"Exp Ther Med. 2024 Mar 15; 27(5):202",PMC11000050,"2024-04-09 23:46:30",38590576,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000051.xml,"Exp Ther Med. 2024 Mar 11; 27(5):193",PMC11000051,"2024-04-09 23:46:30",38590575,"CC BY-NC-ND",no
PMC011xxxxxx/PMC11000052.xml,"Exp Ther Med. 2024 Mar 19; 27(5):205",PMC11000052,"2024-04-09 23:46:30",38590559,"CC BY-NC-ND",no